snapshot_id,collect_date,mode,mode_cn,sub_mode,sub_mode_cn,phase_ver,phase_name,start_date,end_date,character_slug,character_name_en,character_name_cn,role,rarity,app_rate,app_rate_e0,avg_round,std_dev_round,q1_round,cons_avg,sample,sample_app_flat,source_kind,source_file,source_url,quality_flag
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,dan-heng,Dan Heng,丹恒,,,0.0,0.0,99.99,,,6.0,0,2,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,himeko,Himeko,姬子,,,0.1,0.02,99.99,,,2.76,20,28,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,welt,Welt,瓦尔特,,,0.0,0.0,99.99,,,2.67,0,2,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,silver-wolf,Silver Wolf,银狼,,,3.56,0.37,8.86,,,0.73,702,470,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,arlan,Arlan,阿兰,,,0.0,0.0,99.99,,,0.0,0,1,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,asta,Asta,艾丝妲,,,0.02,0.0,99.99,,,0.0,3,1,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,herta,Herta,黑塔,,,0.11,0.0,99.99,,,5.98,22,32,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,bronya,Bronya,布洛妮娅,,,6.08,1.04,8.56,,,2.75,1198,148,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,seele,Seele,希儿,,,0.03,0.0,99.99,,,2.3,5,19,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,serval,Serval,希露瓦,,,0.09,0.0,99.99,,,5.88,17,4,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,gepard,Gepard,杰帕德,,,0.02,0.0,99.99,,,1.4,4,1,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,natasha,Natasha,娜塔莎,,,0.01,0.0,99.99,,,6.0,1,0,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,pela,Pela,佩拉,,,0.08,0.01,99.99,,,5.87,15,1,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,clara,Clara,克拉拉,,,0.05,0.0,99.99,,,4.04,10,42,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,sampo,Sampo,桑博,,,0.0,0.0,99.99,,,5.56,0,1,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,hook,Hook,虎克,,,0.01,0.0,99.99,,,6.0,2,3,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,qingque,Qingque,青雀,,,0.06,0.01,99.99,,,6.0,11,16,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,tingyun,Tingyun,停云,,,0.34,0.03,99.99,,,5.97,68,4,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,jing-yuan,Jing Yuan,景元,,,0.14,0.0,99.99,,,1.62,28,207,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,sushang,Sushang,素裳,,,0.01,0.0,99.99,,,6.0,1,2,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,luocha,Luocha,罗刹,,,1.49,0.24,9.62,,,0.3,293,75,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,yukong,Yukong,驭空,,,0.02,0.0,99.99,,,6.0,4,1,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,yanqing,Yanqing,彦卿,,,0.0,0.0,99.99,,,0.0,0,2,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,bailu,Bailu,白露,,,0.07,0.01,99.99,,,2.45,14,4,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,trailblazer-destruction,Trailblazer - The Destruction,开拓者 - 毁灭,,,0.01,0.0,99.99,,,0.0,1,0,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,trailblazer-preservation,Trailblazer - The Preservation,开拓者 - 存护,,,0.01,0.0,99.99,,,6.0,2,0,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,blade,Blade,刃,ALL,,0.19,0.01,99.99,,,2.14,38,103,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,blade,Blade,刃,DPS,,0.12,0.0,99.99,,,2.39,23,0,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,blade,Blade,刃,S-DPS,,0.08,0.01,99.99,,,1.63,15,0,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,kafka,Kafka,卡芙卡,,,14.93,2.56,8.13,,,0.85,2943,2548,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,luka,Luka,卢卡,,,0.01,0.0,99.99,,,6.0,1,2,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,imbibitor-lunae,Dan Heng • Imbibitor Lunae,丹恒•饮月,,,0.04,0.0,99.99,,,2.86,8,85,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,lynx,Lynx,玲可,,,0.02,0.01,99.99,,,5.88,4,1,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,fu-xuan,Fu Xuan,符玄,,,0.84,0.05,99.99,,,1.36,166,132,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
4.0.1,2026-02-22,moc,混沌回忆,all,全部,3.8.1,Breached Nest,2026-01-19,2026-03-02,topaz,Topaz & Numby,托帕&账账,,,0.14,0.0,99.99,,,1.49,27,60,hf_chars,4.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/MocDataProcessed/resolve/main/4.0.1/builds.json,ok
