snapshot_id,collect_date,mode,mode_cn,character_slug,character_name_en,character_name_cn,usage_value,source_file,note
4.0.1,2026-02-22,moc,混沌回忆,acheron,Acheron,黄泉,2.8,4.0.1/histograph.json,trend auxiliary; not a full character usage table
4.0.1,2026-02-22,pf,虚构叙事,acheron,Acheron,黄泉,3.53,4.0.1/histograph.json,trend auxiliary; not a full character usage table
4.0.1,2026-02-22,as,末日幻影,acheron,Acheron,黄泉,2.38,4.0.1/histograph.json,trend auxiliary; not a full character usage table
4.0.1,2026-02-22,moc,混沌回忆,aglaea,Aglaea,阿格莱雅,3.08,4.0.1/histograph.json,trend auxiliary; not a full character usage table
4.0.1,2026-02-22,pf,虚构叙事,aglaea,Aglaea,阿格莱雅,1.86,4.0.1/histograph.json,trend auxiliary; not a full character usage table
4.0.1,2026-02-22,as,末日幻影,aglaea,Aglaea,阿格莱雅,2.19,4.0.1/histograph.json,trend auxiliary; not a full character usage table
4.0.1,2026-02-22,moc,混沌回忆,archer,Archer,Archer,11.0,4.0.1/histograph.json,trend auxiliary; not a full character usage table
4.0.1,2026-02-22,pf,虚构叙事,archer,Archer,Archer,3.47,4.0.1/histograph.json,trend auxiliary; not a full character usage table
4.0.1,2026-02-22,as,末日幻影,archer,Archer,Archer,2.16,4.0.1/histograph.json,trend auxiliary; not a full character usage table
4.0.1,2026-02-22,moc,混沌回忆,arlan,Arlan,阿兰,0.0,4.0.1/histograph.json,trend auxiliary; not a full character usage table
4.0.1,2026-02-22,pf,虚构叙事,arlan,Arlan,阿兰,0.0,4.0.1/histograph.json,trend auxiliary; not a full character usage table
4.0.1,2026-02-22,as,末日幻影,arlan,Arlan,阿兰,0.0,4.0.1/histograph.json,trend auxiliary; not a full character usage table
4.0.1,2026-02-22,moc,混沌回忆,asta,Asta,艾丝妲,0.02,4.0.1/histograph.json,trend auxiliary; not a full character usage table
4.0.1,2026-02-22,pf,虚构叙事,asta,Asta,艾丝妲,0.04,4.0.1/histograph.json,trend auxiliary; not a full character usage table
4.0.1,2026-02-22,as,末日幻影,asta,Asta,艾丝妲,0.01,4.0.1/histograph.json,trend auxiliary; not a full character usage table
4.0.1,2026-02-22,moc,混沌回忆,aventurine,Aventurine,砂金,5.13,4.0.1/histograph.json,trend auxiliary; not a full character usage table
