character_name_cn,character_name_en,character_slug,role,moc_app_rate,moc_avg_round,pf_app_rate,pf_avg_round,as_app_rate,as_avg_round,aa_app_rate,aa_avg_round,max_app_rate
爻光,Yao Guang,yao-guang,,66.93,7.6,71.39,35198,68.25,3615,67.69,3.06,71.39
风堇,Hyacine,hyacine,,45.55,7.66,71.22,39037,68.33,3468,70.6,2.72,71.22
藿藿,Huohuo,huohuo,,61.03,7.53,65.55,34825,61.61,3587,62.97,3.22,65.55
丹恒•腾荒,Dan Heng • Permansor Terrae,dan-heng-permansor-terrae,,43.4,8.07,53.07,31558,61.49,3448,53.57,3.99,61.49
遐蝶,Castorice,castorice,,32.33,7.48,55.12,39355,55.85,3464,61.2,2.7,61.2
银狼LV.999,Silver Wolf LV.999,silver-wolf-lv-999,,60.02,7.6,53.85,34560,53.18,3607,57.66,3.05,60.02
昔涟,Cyrene,cyrene,,34.54,7.43,55.6,39299,55.03,3476,55.65,2.66,55.65
长夜月,Evernight,march-7th-evernight,ALL,29.5,7.4,49.46,39586,50.67,3482,52.77,2.53,52.77
缇宝,Tribbie,tribbie,,23.96,8.52,49.92,34461,39.86,3410,42.2,3.47,49.92
火花,Sparxie,sparxie,ALL,41.92,7.38,37.33,35158,37.79,3632,38.72,2.71,41.92
大丽花,The Dahlia,the-dahlia,,32.06,7.98,32.44,30059,38.16,3442,38.27,3.84,38.27
开拓者•欢愉,Trailblazer: Elation,trailblazer-elation,,36.73,8.04,36.4,34693,33.26,3567,32.81,3.77,36.73
流萤,Firefly,firefly,,30.61,7.97,30.05,30252,35.85,3451,36.66,3.78,36.66
千冶•刃,Mortenax Blade,blade-mortenax,,11.35,8.41,36.36,33098,29.78,3486,28.51,3.57,36.36
忘归人,Fugue,tingyun-fugue,,26.79,7.94,28.2,30466,32.02,3454,32.03,3.68,32.03
花火,Sparkle,sparkle,,16.63,8.69,21.03,29460,31.02,3391,25.11,4.88,31.02
卡芙卡,Kafka,kafka,,19.63,8.19,25.84,32756,23.3,3362,20.73,3.85,25.84
海瑟音,Hysilens,hysilens,,19.48,8.19,25.24,32924,23.16,3363,20.32,3.82,25.24
黑天鹅,Black Swan,black-swan,,18.73,8.17,23.94,33026,21.35,3368,19.4,3.79,23.94
绯英,Evanescia,evanescia,,17.2,8.03,23.0,36474,20.03,3604,15.78,3.87,23.0
灵砂,Lingsha,lingsha,,14.56,8.1,20.14,30736,20.82,3460,19.51,3.75,20.82
星期日,Sunday,sunday,,13.73,8.67,17.23,26304,20.26,3332,15.46,4.81,20.26
黄泉,Acheron,acheron,,4.59,8.73,19.43,30571,14.7,3399,14.46,3.93,19.43
刻律德菈,Cerydra,cerydra,,13.03,8.77,15.68,27366,19.35,3366,12.81,4.81,19.35
白厄,Phainon,phainon,,13.61,8.9,14.64,25279,17.53,3316,12.16,4.83,17.53
阮•梅,Ruan Mei,ruan-mei,,10.64,6.9,14.14,30251,17.5,3450,15.93,3.92,17.5
开拓者•记忆,Trailblazer - Remembrance,trailblazer-remembrance,,7.8,8.57,15.72,36235,15.64,3352,14.84,3.83,15.72
Archer,Archer,archer,,3.46,9.38,2.52,24301,14.53,3359,9.88,5.53,14.53
大黑塔,The Herta,the-herta,,1.0,99.99,13.45,28327,3.18,2973,3.55,5.74,13.45
加拉赫,Gallagher,gallagher,,6.25,8.52,9.58,28894,12.88,3407,11.46,4.53,12.88
开拓者 - 同谐,Trailblazer - The Harmony,trailblazer-harmony,,7.25,7.46,7.58,31205,6.77,3419,8.89,3.65,8.89
知更鸟,Robin,robin,,3.44,99.99,8.06,26767,8.14,3350,5.89,5.14,8.14
砂金,Aventurine,aventurine,,2.4,8.7,4.62,30597,7.47,3516,6.3,3.92,7.47
黑塔,Herta,herta,,0.04,99.99,6.5,29752,0.76,0,0.26,99.99,6.5
那刻夏,Anaxa,anaxa,ALL,0.89,99.99,4.9,28114,2.46,3026,2.72,5.69,4.9
赛飞儿,Cipher,cipher,,1.54,8.25,3.58,30826,4.1,3424,4.51,3.52,4.51
银狼,Silver Wolf,silver-wolf,,1.61,8.5,1.68,25564,4.34,3411,3.06,4.72,4.34
罗刹,Luocha,luocha,,1.07,8.5,3.59,31555,3.29,3385,4.03,4.64,4.03
希儿,Seele,seele,,0.75,99.99,2.45,29012,4.0,3461,1.54,4.42,4.0
瓦尔特,Welt,welt,,2.41,7.9,3.38,28376,3.5,3396,3.91,4.14,3.91
不死途,Ashveil,ashveil,ALL,1.33,8.07,3.4,34339,3.71,3594,2.67,2.9,3.71
翡翠,Jade,jade,,0.08,99.99,2.99,29573,0.44,0,0.48,99.99,2.99
符玄,Fu Xuan,fu-xuan,,1.59,8.4,2.86,33772,2.91,3541,2.94,2.77,2.94
飞霄,Feixiao,feixiao,,0.77,99.99,0.95,28570,2.69,3541,1.23,3.97,2.69
布洛妮娅,Bronya,bronya,,1.09,99.99,2.4,24273,2.54,3208,1.84,5.41,2.54
椒丘,Jiaoqiu,jiaoqiu,,0.43,99.99,2.27,27815,0.9,3256,1.64,4.64,2.27
阿格莱雅,Aglaea,aglaea,,0.66,99.99,1.41,26204,1.17,0,1.61,99.99,1.61
万敌,Mydei,mydei,,0.89,99.99,1.18,26742,0.41,0,1.48,4.71,1.48
姬子,Himeko,himeko,,0.04,99.99,1.13,28953,0.06,0,0.07,99.99,1.13
Saber,Saber,saber,,0.3,99.99,1.03,24459,0.98,3127,0.4,99.99,1.03
乱破,Rappa,rappa,,0.47,99.99,1.02,25403,0.56,3158,0.81,5.6,1.02
波提欧,Boothill,boothill,,0.5,99.99,0.03,0,0.99,3327,0.33,99.99,0.99
艾丝妲,Asta,asta,,0.56,99.99,0.55,33183,0.45,3408,0.7,5.09,0.7
停云,Tingyun,tingyun,,0.13,99.99,0.31,0,0.56,3425,0.33,99.99,0.56
白露,Bailu,bailu,,0.07,99.99,0.33,0,0.32,0,0.43,4.15,0.43
景元,Jing Yuan,jing-yuan,,0.04,99.99,0.31,0,0.1,0,0.2,99.99,0.31
托帕&账账,Topaz & Numby,topaz,,0.05,99.99,0.08,0,0.26,0,0.14,99.99,0.26
貊泽,Moze,moze,,0.09,99.99,0.12,0,0.24,0,0.1,99.99,0.24
佩拉,Pela,pela,,0.03,99.99,0.22,0,0.07,0,0.22,4.69,0.22
云璃,Yunli,yunli,,0.05,99.99,0.21,0,0.06,0,0.11,99.99,0.21
银枝,Argenti,argenti,ALL,0.01,99.99,0.19,0,0.02,0,0.05,99.99,0.19
希露瓦,Serval,serval,,0.01,99.99,0.08,0,0.05,0,0.16,99.99,0.16
刃,Blade,blade,ALL,0.01,99.99,0.15,0,0.05,0,0.16,99.99,0.16
克拉拉,Clara,clara,,0.02,99.99,0.12,0,0.02,0,0.02,99.99,0.12
三月七•巡猎,March 7th: The Hunt,march-7th-swordmaster,,0.04,99.99,0.04,0,0.11,0,0.05,99.99,0.11
杰帕德,Gepard,gepard,,0.01,99.99,0.03,0,0.09,0,0.05,99.99,0.09
镜流,Jingliu,jingliu,,0.02,99.99,0.06,0,0.01,0,0.09,99.99,0.09
玲可,Lynx,lynx,,0.01,99.99,0.04,0,0.06,0,0.03,99.99,0.06
三月七 - 存护,March 7th,march-7th,,0.0,99.99,0.05,0,0.04,0,0.05,99.99,0.05
丹恒•饮月,Dan Heng • Imbibitor Lunae,imbibitor-lunae,,0.03,99.99,0.05,0,0.02,0,0.03,99.99,0.05
雪衣,Xueyi,xueyi,,0.01,99.99,0.01,0,0.04,0,0.01,99.99,0.04
真理医生,Dr. Ratio,dr-ratio,,0.04,99.99,0.02,0,0.02,0,0.02,99.99,0.04
娜塔莎,Natasha,natasha,,0.02,99.99,0.01,0,0.02,0,0.03,99.99,0.03
青雀,Qingque,qingque,,0.01,99.99,0.01,0,0.03,0,0.01,99.99,0.03
阿兰,Arlan,arlan,,0.02,99.99,0.0,0,0.0,0,0.0,99.99,0.02
桂乃芬,Guinaifen,guinaifen,,0.01,99.99,0.01,0,0.0,0,0.02,99.99,0.02
丹恒,Dan Heng,dan-heng,,0.0,99.99,0.01,0,0.01,0,0.0,99.99,0.01
桑博,Sampo,sampo,,0.0,99.99,0.01,0,0.01,0,0.0,99.99,0.01
虎克,Hook,hook,,0.0,99.99,0.01,0,0.0,0,0.0,99.99,0.01
素裳,Sushang,sushang,,0.01,99.99,0.0,0,0.01,0,0.0,99.99,0.01
彦卿,Yanqing,yanqing,,0.01,99.99,0.0,0,0.0,0,0.0,99.99,0.01
开拓者 - 毁灭,Trailblazer - The Destruction,trailblazer-destruction,,0.0,99.99,0.0,0,0.0,0,0.01,99.99,0.01
驭空,Yukong,yukong,,0.01,99.99,0.0,0,0.01,0,0.0,99.99,0.01
卢卡,Luka,luka,,0.01,99.99,0.0,0,0.01,0,0.0,99.99,0.01
寒鸦,Hanya,hanya,,0.01,99.99,0.0,0,0.01,0,0.01,99.99,0.01
开拓者 - 存护,Trailblazer - The Preservation,trailblazer-preservation,,0.0,99.99,0.0,0,0.0,0,0.0,99.99,0.0
米沙,Misha,misha,,0.0,99.99,0.0,0,0.0,0,0.0,99.99,0.0
