character_slug,character_name_en,character_name_cn,source,needs_manual_check,aliases
acheron,Acheron,黄泉,HoYoWiki official hsr character menu_id=104,0,
aglaea,Aglaea,阿格莱雅,HoYoWiki official hsr character menu_id=104,0,
anaxa,Anaxa,那刻夏,HoYoWiki official hsr character menu_id=104,0,
archer,Archer,Archer,HoYoWiki official hsr character menu_id=104,0,
argenti,Argenti,银枝,HoYoWiki official hsr character menu_id=104,0,
arlan,Arlan,阿兰,HoYoWiki official hsr character menu_id=104,0,
ashveil,Ashveil,不死途,HoYoWiki official hsr character menu_id=104,0,
asta,Asta,艾丝妲,HoYoWiki official hsr character menu_id=104,0,
aventurine,Aventurine,砂金,HoYoWiki official hsr character menu_id=104,0,
bailu,Bailu,白露,HoYoWiki official hsr character menu_id=104,0,
black-swan,Black Swan,黑天鹅,HoYoWiki official hsr character menu_id=104,0,
blade,Blade,刃,HoYoWiki official hsr character menu_id=104,0,
blade-mortenax,Mortenax Blade,千冶•刃,HoYoWiki official hsr character menu_id=104,0,mortenax-blade
boothill,Boothill,波提欧,HoYoWiki official hsr character menu_id=104,0,
bronya,Bronya,布洛妮娅,HoYoWiki official hsr character menu_id=104,0,
castorice,Castorice,遐蝶,HoYoWiki official hsr character menu_id=104,0,
cerydra,Cerydra,刻律德菈,HoYoWiki official hsr character menu_id=104,0,
cipher,Cipher,赛飞儿,HoYoWiki official hsr character menu_id=104,0,
clara,Clara,克拉拉,HoYoWiki official hsr character menu_id=104,0,
cyrene,Cyrene,昔涟,HoYoWiki official hsr character menu_id=104,0,
dan-heng,Dan Heng,丹恒,HoYoWiki official hsr character menu_id=104,0,
dan-heng-permansor-terrae,Dan Heng • Permansor Terrae,丹恒•腾荒,HoYoWiki official hsr character menu_id=104,0,
dr-ratio,Dr. Ratio,真理医生,HoYoWiki official hsr character menu_id=104,0,
evanescia,Evanescia,绯英,HoYoWiki official hsr character menu_id=104,0,
feixiao,Feixiao,飞霄,HoYoWiki official hsr character menu_id=104,0,
firefly,Firefly,流萤,HoYoWiki official hsr character menu_id=104,0,
fu-xuan,Fu Xuan,符玄,HoYoWiki official hsr character menu_id=104,0,
gallagher,Gallagher,加拉赫,HoYoWiki official hsr character menu_id=104,0,
gepard,Gepard,杰帕德,HoYoWiki official hsr character menu_id=104,0,
