snapshot_id,collect_date,mode,mode_cn,phase_ver,phase_name,start_date,end_date,source,source_path,has_chars,has_comps,has_histograph,note
4.0.1,2026-02-22,moc,混沌回忆,3.8.1,Breached Nest,2026-01-19,2026-03-02,huggingface,4.0.1/,1,1,1,
4.0.1,2026-02-22,pf,虚构叙事,4.0.1,Wordless Novel,2026-02-16,2026-03-30,huggingface,4.0.1/,1,1,1,
4.0.1,2026-02-22,as,末日幻影,3.8.2,Dominance of Netherveil,2026-02-02,2026-03-16,huggingface,4.0.1/,1,1,1,
4.0.1,2026-02-22,aa,异相仲裁,4.0.1,Cyber Crisis,2026-02-12,2026-03-24,huggingface,4.0.1/,1,1,1,
4.0.2,2026-03-06,moc,混沌回忆,4.0.1,Cyber Mystery,2026-03-02,2026-04-13,huggingface,4.0.2/,1,1,1,
4.0.2,2026-03-06,pf,虚构叙事,4.0.1,Wordless Novel,2026-02-16,2026-03-30,huggingface,4.0.2/,1,1,1,
4.0.2,2026-03-06,as,末日幻影,3.8.2,Dominance of Netherveil,2026-02-02,2026-03-16,huggingface,4.0.2/,1,1,1,
4.0.2,2026-03-06,aa,异相仲裁,4.0.1,Cyber Crisis,2026-02-12,2026-03-24,huggingface,4.0.2/,1,1,1,
4.1.1,2026-04-03,moc,混沌回忆,4.0.1,Cyber Mystery,2026-03-02,2026-04-13,huggingface,4.1.1/,1,1,1,
4.1.1,2026-04-03,pf,虚构叙事,4.1.1,Virtual Made Manifest,2026-03-30,2026-05-11,huggingface,4.1.1/,1,1,1,
4.1.1,2026-04-03,as,末日幻影,4.0.1,Militant Lupine,2026-03-16,2026-04-27,huggingface,4.1.1/,1,1,1,
4.1.1,2026-04-03,aa,异相仲裁,4.1.1,Don't Mess With Pom-Pom,2026-03-24,2026-04-21,huggingface,4.1.1/,1,1,1,
4.1.2,2026-04-19,moc,混沌回忆,4.1.1,Grand Finale,2026-04-13,2026-05-25,huggingface,4.1.2/,1,1,1,
4.1.2,2026-04-19,pf,虚构叙事,4.1.1,Virtual Made Manifest,2026-03-30,2026-05-11,huggingface,4.1.2/,1,1,1,
4.1.2,2026-04-19,as,末日幻影,4.0.1,Militant Lupine,2026-03-16,2026-04-27,huggingface,4.1.2/,1,1,1,
4.1.2,2026-04-19,aa,异相仲裁,4.1.1,Don't Mess With Pom-Pom,2026-03-24,2026-04-21,huggingface,4.1.2/,1,1,1,
4.2.1,2026-05-02,moc,混沌回忆,4.1.1,Grand Finale,2026-04-13,2026-05-25,huggingface,4.2.1/,1,1,1,
4.2.1,2026-05-02,pf,虚构叙事,4.1.1,Virtual Made Manifest,2026-03-30,2026-05-11,huggingface,4.2.1/,1,1,1,
4.2.1,2026-05-02,as,末日幻影,4.2.1,Idol of the Locusts,2026-04-27,2026-06-08,huggingface,4.2.1/,1,1,1,
4.2.1,2026-05-02,aa,异相仲裁,4.2.1,Happiness Syntax,2026-04-21,2026-05-31,huggingface,4.2.1/,1,1,1,
4.2.2,2026-05-16,moc,混沌回忆,4.1.1,Grand Finale,2026-04-13,2026-05-25,huggingface,4.2.2/,1,1,1,
4.2.2,2026-05-16,pf,虚构叙事,4.2.1,Illusory Concepts,2026-05-11,2026-06-22,huggingface,4.2.2/,1,1,1,
4.2.2,2026-05-16,as,末日幻影,4.2.1,Idol of the Locusts,2026-04-27,2026-06-08,huggingface,4.2.2/,1,1,1,
4.2.2,2026-05-16,aa,异相仲裁,4.2.1,Happiness Syntax,2026-04-21,2026-05-31,huggingface,4.2.2/,1,1,1,
4.2.3,2026-05-29,moc,混沌回忆,4.2.1,Duty Action,2026-05-25,2026-07-06,huggingface,4.2.3/,1,1,1,
4.2.3,2026-05-29,pf,虚构叙事,4.2.1,Illusory Concepts,2026-05-11,2026-06-22,huggingface,4.2.3/,1,1,1,
4.2.3,2026-05-29,as,末日幻影,4.2.1,Idol of the Locusts,2026-04-27,2026-06-08,huggingface,4.2.3/,1,1,1,
4.2.3,2026-05-29,aa,异相仲裁,4.2.1,Happiness Syntax,2026-04-21,2026-05-31,huggingface,4.2.3/,1,1,1,
4.3.1,2026-06-11,moc,混沌回忆,4.2.1,Duty Action,2026-05-25,2026-07-06,huggingface,4.3.1/,1,1,1,
4.3.1,2026-06-11,pf,虚构叙事,4.2.1,Illusory Concepts,2026-05-11,2026-06-22,huggingface,4.3.1/,1,1,1,
4.3.1,2026-06-11,as,末日幻影,4.3.1,Gale of Forgetting,2026-06-08,2026-07-20,huggingface,4.3.1/,1,1,1,
4.3.1,2026-06-11,aa,异相仲裁,4.3.1,The Humming Laughter,2026-05-31,2026-07-12,huggingface,4.3.1/,1,1,1,
4.3.2,2026-06-25,moc,混沌回忆,4.2.1,Duty Action,2026-05-25,2026-07-06,huggingface,4.3.2/,1,1,1,
4.3.2,2026-06-25,pf,虚构叙事,4.3.1,Falsehood to Fact,2026-06-22,2026-08-03,huggingface,4.3.2/,1,1,1,
4.3.2,2026-06-25,as,末日幻影,4.3.1,Gale of Forgetting,2026-06-08,2026-07-20,huggingface,4.3.2/,1,1,1,
4.3.2,2026-06-25,aa,异相仲裁,4.3.1,The Humming Laughter,2026-05-31,2026-07-12,huggingface,4.3.2/,1,1,1,
