snapshot_id,collect_date,mode,mode_cn,sub_mode,sub_mode_cn,phase_ver,phase_name,start_date,end_date,character_slug,character_name_en,character_name_cn,role,rarity,app_rate,avg_score,sample,sample_players,cons_avg,char_level,w_engine_level,core_skill,source_kind,source_file,source_url,quality_flag
2.6.1,2026-02-17,da,危局强袭,1-1,首领 1,2.6.1,危局强袭 2.6.1,2026-02-13,2026-02-27,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,异常主C,S,0.61,22154,1791,702,0.46,59.99,59.88,6.99,hf_builds,2.6.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/builds.json,ok
2.6.2,2026-03-10,da,危局强袭,1-1,首领 1,2.6.2,危局强袭 2.6.2,2026-02-27,2026-03-13,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,异常主C,S,11.73,22198,1823,1044,0.45,60.0,59.84,7.0,hf_builds,2.6.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.2/builds.json,ok
2.7.1,2026-03-31,da,危局强袭,1-1,首领 1,2.7.1,危局强袭 2.7.1,2026-03-27,2026-04-10,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,异常主C,S,5.85,22242,958,733,0.55,60.0,59.82,7.0,hf_builds,2.7.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.7.1/builds.json,ok
2.7.2,2026-04-21,da,危局强袭,1-1,首领 1,2.7.2,危局强袭 2.7.2,2026-04-10,2026-04-24,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,异常主C,S,9.55,24349,1615,863,0.56,60.0,59.96,7.0,hf_builds,2.7.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.7.2/builds.json,ok
2.8.1,2026-05-11,da,危局强袭,1-1,首领 1,2.8.1,危局强袭 2.8.1,2026-05-08,2026-05-22,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,异常主C,S,0.3,0,79,88,0.69,59.99,59.84,7.0,hf_builds,2.8.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.1/builds.json,ok
2.8.2,2026-06-02,da,危局强袭,1-1,首领 1,2.8.2,危局强袭 2.8.2,2026-05-22,2026-06-05,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,异常主C,S,2.22,19695,1128,304,0.49,60.0,59.86,7.0,hf_builds,2.8.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.2/builds.json,ok
2.8.3,2026-06-15,da,危局强袭,1-1,首领 1,2.8.3,危局强袭 2.8.3,2026-06-05,2026-06-19,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,异常主C,S,16.14,27237,2785,665,0.41,60.0,59.93,7.0,hf_builds,2.8.3/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.3/builds.json,ok
3.0.1,2026-06-21,da,危局强袭,1-1,首领 1,3.0.1,危局强袭 3.0.1,2026-06-19,2026-07-03,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,异常主C,S,8.19,25851,1054,681,0.57,60.0,59.72,7.0,hf_builds,3.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/3.0.1/builds.json,ok
2.6.1,2026-02-17,da,危局强袭,1-1,首领 1,2.6.1,危局强袭 2.6.1,2026-02-13,2026-02-27,anby-demara,Anby Demara,安比·德玛拉,辅助,A,0.01,0,6,0,5.85,60.0,60.0,7.0,hf_builds,2.6.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/builds.json,ok
2.6.2,2026-03-10,da,危局强袭,1-1,首领 1,2.6.2,危局强袭 2.6.2,2026-02-27,2026-03-13,anby-demara,Anby Demara,安比·德玛拉,辅助,A,0.01,0,11,2,5.88,60.0,60.0,7.0,hf_builds,2.6.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.2/builds.json,ok
