character_slug,character_name_en,character_name_cn,source,needs_manual_check,aliases,kind,release_order
agent-gulliver,Agent Gulliver,格列佛探员,HoYoWiki official zzz bangboo menu_id=15,0,agent;gulliver,bangboo,1014
alice,Alice Thymefield,爱丽丝·泰姆菲尔德,HoYoWiki official zzz agent menu_id=8,0,alice;thymefield,agent,16
amillion,Amillion,艾米莉安,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1037
anby-demara,Anby Demara,安比·德玛拉,HoYoWiki official zzz agent menu_id=8,0,anby;demara,agent,53
anby-demara-soldier-0,Soldier 0 - Anby,零号·安比,HoYoWiki official zzz agent menu_id=8,0,anby;anby-demara-soldier-0;anby-soldier-0;soldier,agent,25
anton,Anton Ivanov,安东·伊万诺夫,HoYoWiki official zzz agent menu_id=8,0,anton;ivanov,agent,47
aria,Aria,爱芮,HoYoWiki official zzz agent menu_id=8,0,,agent,5
astra-yao,Astra Yao,耀嘉音,HoYoWiki official zzz agent menu_id=8,0,astra;yao,agent,27
avocaboo,Avocaboo,果核布,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1025
baddieboo,Baddieboo,不良布,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1016
bagboo,Bagboo,纸袋布,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1023
bangvolver,Bangvolver,左轮布,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1035
banyue,Banyue,般岳,HoYoWiki official zzz agent menu_id=8,0,,agent,9
belion,Belion,狮耶,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1009
ben,Ben Bigger,本·比格,HoYoWiki official zzz agent menu_id=8,0,ben;bigger,agent,46
biggest-fan,Biggest Fan,阿饭,HoYoWiki official zzz bangboo menu_id=15,0,biggest;fan,bangboo,1002
bild-n-boolok,Bild N. Boolok,乐玩布,HoYoWiki official zzz bangboo menu_id=15,0,bild;boolok,bangboo,1004
billy-kid,Billy Kid,比利·奇德,HoYoWiki official zzz agent menu_id=8,0,billy;kid,agent,52
billy-starlight,Starlight - Billy,星徽·比利,HoYoWiki official zzz agent menu_id=8,0,billy;billy-starlight;starlight,agent,1
birkblick,Birkblick,比克布利克,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1005
boollseye,Boollseye,飞靶布,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1026
booltergeist,Booltergeist,幽浮布,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1001
booressure,Booressure,气压布,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1029
brawlerboo,Brawlerboo,格斗布,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1013
burnice,Burnice White,柏妮思·怀特,HoYoWiki official zzz agent menu_id=8,0,burnice;white,agent,32
butler,Butler,巴特勒,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1038
caesar,Caesar King,凯撒·金,HoYoWiki official zzz agent menu_id=8,0,caesar;king,agent,33
