snapshot_id,collect_date,mode,mode_cn,phase_ver,phase_name,start_date,end_date,source,source_path,has_chars,has_comps,note
2.6.1,2026-02-17,sd,式舆防卫,2.6.1,式舆防卫 2.6.1,2026-02-06,2026-02-20,hf_processed,2.6.1/,1,1,
2.6.1,2026-02-17,da,危局强袭,2.6.1,危局强袭 2.6.1,2026-02-13,2026-02-27,hf_processed,2.6.1/,1,1,
2.6.2,2026-03-10,sd,式舆防卫,2.6.3,式舆防卫 2.6.3,2026-03-06,2026-03-20,hf_processed,2.6.2/,1,1,
2.6.2,2026-03-10,da,危局强袭,2.6.2,危局强袭 2.6.2,2026-02-27,2026-03-13,hf_processed,2.6.2/,1,1,
2.7.1,2026-03-31,sd,式舆防卫,2.6.4,式舆防卫 2.6.4,2026-03-20,2026-04-03,hf_processed,2.7.1/,1,1,
2.7.1,2026-03-31,da,危局强袭,2.7.1,危局强袭 2.7.1,2026-03-27,2026-04-10,hf_processed,2.7.1/,1,1,
2.7.2,2026-04-21,sd,式舆防卫,2.7.2,式舆防卫 2.7.2,2026-04-17,2026-05-01,hf_processed,2.7.2/,1,1,
2.7.2,2026-04-21,da,危局强袭,2.7.2,危局强袭 2.7.2,2026-04-10,2026-04-24,hf_processed,2.7.2/,1,1,
2.8.1,2026-05-11,sd,式舆防卫,2.7.3,式舆防卫 2.7.3,2026-05-01,2026-05-15,hf_processed,2.8.1/,1,1,
2.8.1,2026-05-11,da,危局强袭,2.8.1,危局强袭 2.8.1,2026-05-08,2026-05-22,hf_processed,2.8.1/,1,1,
2.8.2,2026-06-02,sd,式舆防卫,2.8.2,式舆防卫 2.8.2,2026-05-29,2026-06-12,hf_processed,2.8.2/,1,1,
2.8.2,2026-06-02,da,危局强袭,2.8.2,危局强袭 2.8.2,2026-05-22,2026-06-05,hf_processed,2.8.2/,1,1,
2.8.3,2026-06-15,sd,式舆防卫,2.8.3,式舆防卫 2.8.3,2026-06-12,2026-06-26,hf_processed,2.8.3/,1,1,
2.8.3,2026-06-15,da,危局强袭,2.8.3,危局强袭 2.8.3,2026-06-05,2026-06-19,hf_processed,2.8.3/,1,1,
3.0.1,2026-06-21,sd,式舆防卫,2.8.3,式舆防卫 2.8.3,2026-06-12,2026-06-26,hf_processed,3.0.1/,1,1,
3.0.1,2026-06-21,da,危局强袭,3.0.1,危局强袭 3.0.1,2026-06-19,2026-07-03,hf_processed,3.0.1/,1,1,
