snapshot_id,collect_date,mode,mode_cn,sub_mode,sub_mode_cn,phase_ver,phase_name,scope,rank,char_1_slug,char_2_slug,char_3_slug,bangboo_slug,char_1_name_cn,char_2_name_cn,char_3_name_cn,bangboo_name_cn,app_rate,avg_score,avg_score_m1,source_kind,source_file,source_url,raw_index,raw_json
2.7.2,2026-04-21,da,危局强袭,1-1,1 / 1,2.7.2,危局强袭 2.7.2,1-1_combined.json,1,aria,nangong-yu,sunna,biggest-fan,爱芮,南宫羽,千夏,阿饭,35.83,34306,40709,hf_comps,2.7.2/da/comps/1-1_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.7.2/da/comps/1-1_combined.json,1,"{""char_one"":""aria"",""char_two"":""nangong-yu"",""char_three"":""sunna"",""bangboo"":""biggest-fan"",""app_rate"":35.83,""rank"":1,""avg_round"":34306,""avg_round_m1"":40709}"
2.6.1,2026-02-17,da,危局强袭,1-1,1 / 1,2.6.1,危局强袭 2.6.1,1-1_combined.json,1,ye-shunguang,zhao,sunna,sprout,叶瞬光,照,千夏,芽芽,32.3,34351,41511,hf_comps,2.6.1/da/comps/1-1_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/da/comps/1-1_combined.json,1,"{""char_one"":""ye-shunguang"",""char_two"":""zhao"",""char_three"":""sunna"",""bangboo"":""sprout"",""app_rate"":32.3,""rank"":1,""avg_round"":34351,""avg_round_m1"":41511}"
2.8.1,2026-05-11,da,危局强袭,1-1,1 / 1,2.8.1,危局强袭 2.8.1,1-1_combined.json,1,miyabi,nangong-yu,ukinami-yuzuha,biggest-fan,星见 雅,南宫羽,浮波柚叶,阿饭,31.46,28199,33897,hf_comps,2.8.1/da/comps/1-1_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.1/da/comps/1-1_combined.json,1,"{""char_one"":""miyabi"",""char_two"":""nangong-yu"",""char_three"":""ukinami-yuzuha"",""bangboo"":""biggest-fan"",""app_rate"":31.46,""rank"":1,""avg_round"":28199,""avg_round_m1"":33897}"
2.7.1,2026-03-31,da,危局强袭,1-1,1 / 1,2.7.1,危局强袭 2.7.1,1-1_combined.json,1,aria,nangong-yu,sunna,biggest-fan,爱芮,南宫羽,千夏,阿饭,30.64,30094,38546,hf_comps,2.7.1/da/comps/1-1_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.7.1/da/comps/1-1_combined.json,1,"{""char_one"":""aria"",""char_two"":""nangong-yu"",""char_three"":""sunna"",""bangboo"":""biggest-fan"",""app_rate"":30.64,""rank"":1,""avg_round"":30094,""avg_round_m1"":38546}"
2.6.2,2026-03-10,da,危局强袭,1-1,1 / 1,2.6.2,危局强袭 2.6.2,1-1_combined.json,1,aria,ukinami-yuzuha,sunna,biggest-fan,爱芮,浮波柚叶,千夏,阿饭,20.86,34527,41231,hf_comps,2.6.2/da/comps/1-1_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.2/da/comps/1-1_combined.json,1,"{""char_one"":""aria"",""char_two"":""ukinami-yuzuha"",""char_three"":""sunna"",""bangboo"":""biggest-fan"",""app_rate"":20.86,""rank"":1,""avg_round"":34527,""avg_round_m1"":41231}"
2.8.3,2026-06-15,da,危局强袭,1-1,1 / 1,2.8.3,危局强袭 2.8.3,1-1_combined.json,1,miyabi,nangong-yu,ukinami-yuzuha,biggest-fan,星见 雅,南宫羽,浮波柚叶,阿饭,17.13,31523,37642,hf_comps,2.8.3/da/comps/1-1_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.3/da/comps/1-1_combined.json,1,"{""char_one"":""miyabi"",""char_two"":""nangong-yu"",""char_three"":""ukinami-yuzuha"",""bangboo"":""biggest-fan"",""app_rate"":17.13,""rank"":1,""avg_round"":31523,""avg_round_m1"":37642}"
3.0.1,2026-06-21,da,危局强袭,1-1,1 / 1,3.0.1,危局强袭 3.0.1,1-1_combined.json,1,promeia,velina,ukinami-yuzuha,ultra-jake,普罗米娅,维琳娜·艾嘉德,浮波柚叶,超极杰克,16.86,32165,40435,hf_comps,3.0.1/da/comps/1-1_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/3.0.1/da/comps/1-1_combined.json,1,"{""char_one"":""promeia"",""char_two"":""velina"",""char_three"":""ukinami-yuzuha"",""bangboo"":""ultra-jake"",""app_rate"":16.86,""rank"":1,""avg_round"":32165,""avg_round_m1"":40435}"
2.8.2,2026-06-02,da,危局强袭,1-1,1 / 1,2.8.2,危局强袭 2.8.2,1-1_combined.json,1,miyabi,nangong-yu,ukinami-yuzuha,biggest-fan,星见 雅,南宫羽,浮波柚叶,阿饭,16.57,28384,35160,hf_comps,2.8.2/da/comps/1-1_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.2/da/comps/1-1_combined.json,1,"{""char_one"":""miyabi"",""char_two"":""nangong-yu"",""char_three"":""ukinami-yuzuha"",""bangboo"":""biggest-fan"",""app_rate"":16.57,""rank"":1,""avg_round"":28384,""avg_round_m1"":35160}"
2.6.1,2026-02-17,da,危局强袭,1-1,1 / 1,2.6.1,危局强袭 2.6.1,1-1_combined.json,2,ye-shunguang,dialyn,zhao,sprout,叶瞬光,琉音,照,芽芽,23.18,28688,35835,hf_comps,2.6.1/da/comps/1-1_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/da/comps/1-1_combined.json,2,"{""char_one"":""ye-shunguang"",""char_two"":""dialyn"",""char_three"":""zhao"",""bangboo"":""sprout"",""app_rate"":23.18,""rank"":2,""avg_round"":28688,""avg_round_m1"":35835}"
2.8.2,2026-06-02,da,危局强袭,1-1,1 / 1,2.8.2,危局强袭 2.8.2,1-1_combined.json,2,miyabi,vivian,ukinami-yuzuha,robin,星见 雅,薇薇安·班希,浮波柚叶,罗宾,15.79,21207,26564,hf_comps,2.8.2/da/comps/1-1_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.2/da/comps/1-1_combined.json,2,"{""char_one"":""miyabi"",""char_two"":""vivian"",""char_three"":""ukinami-yuzuha"",""bangboo"":""robin"",""app_rate"":15.79,""rank"":2,""avg_round"":21207,""avg_round_m1"":26564}"
