team_signature,team_slugs,team_cn,confidence,record_count,snapshot_count,phase_count,mode_count,scope_count,boss_count,source_kind_count,max_app_rate,median_app_rate,best_rank,best_score,non_sentinel_score_count,sentinel_score_count,modes,phase_versions,scopes,source_kinds,evidence_comment,risk_comment
sunna|ye-shunguang|zhao,"sunna, ye-shunguang, zhao",千夏 / 叶瞬光 / 照,A,60,8,15,2,7,6,1,38.95,12.685,1,42665,60,0,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=60；phase_count=15；mode_count=2；boss_count=6；max_app_rate=38.95；median_app_rate=12.685,无
dialyn|ye-shunguang|zhao,"dialyn, ye-shunguang, zhao",琉音 / 叶瞬光 / 照,A,60,8,15,2,7,6,1,36.07,9.075,1,37403,58,2,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=60；phase_count=15；mode_count=2；boss_count=6；max_app_rate=36.07；median_app_rate=9.075,包含 2 条 sentinel/missing 分数
aria|nangong-yu|sunna,"aria, nangong-yu, sunna",爱芮 / 南宫羽 / 千夏,A,40,6,11,2,7,6,1,35.83,3.12,1,35584,38,2,"da, sd","da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=40；phase_count=11；mode_count=2；boss_count=6；max_app_rate=35.83；median_app_rate=3.12,包含 2 条 sentinel/missing 分数
miyabi|nangong-yu|ukinami-yuzuha,"miyabi, nangong-yu, ukinami-yuzuha",星见 雅 / 南宫羽 / 浮波柚叶,A,43,6,11,2,7,6,1,31.46,5.07,1,39196,43,0,"da, sd","da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=43；phase_count=11；mode_count=2；boss_count=6；max_app_rate=31.46；median_app_rate=5.07,无
dialyn|lucia|yixuan,"dialyn, lucia, yixuan",琉音 / 卢西娅 / 仪玄,A,60,8,15,2,7,6,1,29.38,8.23,1,36656,60,0,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=60；phase_count=15；mode_count=2；boss_count=6；max_app_rate=29.38；median_app_rate=8.23,无
miyabi|ukinami-yuzuha|vivian,"miyabi, ukinami-yuzuha, vivian",星见 雅 / 浮波柚叶 / 薇薇安·班希,A,54,8,15,2,7,6,1,28.06,2.62,1,33068,51,3,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=54；phase_count=15；mode_count=2；boss_count=6；max_app_rate=28.06；median_app_rate=2.62,包含 3 条 sentinel/missing 分数
ju-fufu|lucia|yixuan,"ju-fufu, lucia, yixuan",橘福福 / 卢西娅 / 仪玄,A,60,8,15,2,7,6,1,27.83,8.025,1,33334,59,1,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=60；phase_count=15；mode_count=2；boss_count=6；max_app_rate=27.83；median_app_rate=8.025,包含 1 条 sentinel/missing 分数
promeia|ukinami-yuzuha|vivian,"promeia, ukinami-yuzuha, vivian",普罗米娅 / 浮波柚叶 / 薇薇安·班希,A,23,4,7,2,7,6,1,13.25,1.97,3,35998,22,1,"da, sd","da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=23；phase_count=7；mode_count=2；boss_count=6；max_app_rate=13.25；median_app_rate=1.97,包含 1 条 sentinel/missing 分数
nangong-yu|promeia|ukinami-yuzuha,"nangong-yu, promeia, ukinami-yuzuha",南宫羽 / 普罗米娅 / 浮波柚叶,A,20,4,7,2,7,6,1,11.75,3.42,2,37597,20,0,"da, sd","da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=20；phase_count=7；mode_count=2；boss_count=6；max_app_rate=11.75；median_app_rate=3.42,无
miyabi|ukinami-yuzuha|yanagi,"miyabi, ukinami-yuzuha, yanagi",星见 雅 / 浮波柚叶 / 月城 柳,A,51,8,15,2,7,6,1,10.39,1.13,2,36918,49,2,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=51；phase_count=15；mode_count=2；boss_count=6；max_app_rate=10.39；median_app_rate=1.13,包含 2 条 sentinel/missing 分数
aria|sunna|ukinami-yuzuha,"aria, sunna, ukinami-yuzuha",爱芮 / 千夏 / 浮波柚叶,B+,34,7,13,2,7,6,1,20.86,0.395,1,34527,34,0,"da, sd","da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=34；phase_count=13；mode_count=2；boss_count=6；max_app_rate=20.86；median_app_rate=0.395,重复度较好，但未达到 A 档广度/强度
anby-demara-soldier-0|orphie-and-magus|trigger,"anby-demara-soldier-0, orphie-and-magus, trigger",零号·安比 / 奥菲丝·马格努森 & 「鬼火」 / 「扳机」,B+,59,8,15,2,7,6,1,12.5,0.53,1,36773,57,2,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=59；phase_count=15；mode_count=2；boss_count=6；max_app_rate=12.5；median_app_rate=0.53,包含 2 条 sentinel/missing 分数
miyabi|soukaku|ukinami-yuzuha,"miyabi, soukaku, ukinami-yuzuha",星见 雅 / 苍角 / 浮波柚叶,B+,48,8,15,2,7,6,1,11.58,0.73,2,35750,44,4,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=48；phase_count=15；mode_count=2；boss_count=6；max_app_rate=11.58；median_app_rate=0.73,包含 4 条 sentinel/missing 分数
dialyn|sunna|ye-shunguang,"dialyn, sunna, ye-shunguang",琉音 / 千夏 / 叶瞬光,B+,57,8,15,2,7,6,1,9.91,3.73,3,38238,57,0,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=57；phase_count=15；mode_count=2；boss_count=6；max_app_rate=9.91；median_app_rate=3.73,重复度较好，但未达到 A 档广度/强度
billy-starlight|dialyn|lucia,"billy-starlight, dialyn, lucia",星徽·比利 / 琉音 / 卢西娅,B+,17,3,5,2,7,6,1,9.82,4.48,3,35090,17,0,"da, sd","da:2.8.2, da:2.8.3, da:3.0.1, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=17；phase_count=5；mode_count=2；boss_count=6；max_app_rate=9.82；median_app_rate=4.48,重复度较好，但未达到 A 档广度/强度
astra-yao|ye-shunguang|zhao,"astra-yao, ye-shunguang, zhao",耀嘉音 / 叶瞬光 / 照,B+,59,8,15,2,7,6,1,9.42,3.31,3,37834,57,2,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=59；phase_count=15；mode_count=2；boss_count=6；max_app_rate=9.42；median_app_rate=3.31,包含 2 条 sentinel/missing 分数
alice|ukinami-yuzuha|vivian,"alice, ukinami-yuzuha, vivian",爱丽丝·泰姆菲尔德 / 浮波柚叶 / 薇薇安·班希,B+,54,8,15,2,7,6,1,8.04,0.925,3,33188,53,1,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=54；phase_count=15；mode_count=2；boss_count=6；max_app_rate=8.04；median_app_rate=0.925,包含 1 条 sentinel/missing 分数
astra-yao|cissia|seed,"astra-yao, cissia, seed",耀嘉音 / 希希芙 / 「席德」,B+,32,5,9,2,7,6,1,7.94,0.51,3,36279,30,2,"da, sd","da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=32；phase_count=9；mode_count=2；boss_count=6；max_app_rate=7.94；median_app_rate=0.51,包含 2 条 sentinel/missing 分数
astra-yao|evelyn|lighter,"astra-yao, evelyn, lighter",耀嘉音 / 伊芙琳·舒瓦利耶 / 莱特,B+,53,8,15,2,7,6,1,7.12,0.34,3,32021,50,3,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=53；phase_count=15；mode_count=2；boss_count=6；max_app_rate=7.12；median_app_rate=0.34,包含 3 条 sentinel/missing 分数
